               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
55,2.8301,2.5391,1.6595,0.53705,0.57333,0.32083,0.17699,0,0,0,0.008218,0.008218,0.008218
56,2.7406,2.5365,1.6306,0.48221,0.5203,0.28972,0.17022,0,0,0,0.008185,0.008185,0.008185
57,2.7192,2.5962,1.5955,0.46154,0.52413,0.24637,0.14145,0,0,0,0.008152,0.008152,0.008152
58,2.7641,2.5479,1.5924,0.54728,0.52504,0.27449,0.148624,0,0,0,0.008119,0.008119,0.008119
59,2.8959,2.7503,1.6319,0.378,0.54635,0.23772,0.117827,0,0,0,0.008086,0.008086,0.008086
60,2.6523,2.4049,1.5642,0.50598,0.54635,0.26686,0.1517,0,0,0,0.008053,0.008053,0.008053
61,2.689,2.5151,1.6331,0.66576,0.47651,0.24026,0.12728,0,0,0,0.00802,0.00802,0.00802
62,2.6341,2.3911,1.5929,0.49309,0.48286,0.2711,0.15265,0,0,0,0.007987,0.007987,0.007987
63,2.6275,2.2612,1.5763,0.44709,0.54098,0.31079,0.1839,0,0,0,0.007954,0.007954,0.007954
64,2.6345,2.3288,1.5507,0.61376,0.49397,0.27662,0.15828,0,0,0,0.007921,0.007921,0.007921
65,2.6931,2.2765,1.5692,0.62525,0.51778,0.29896,0.17547,0,0,0,0.007888,0.007888,0.007888
66,2.5286,2.2513,1.5217,0.60102,0.55111,0.30892,0.18564,0,0,0,0.007855,0.007855,0.007855
67,2.6521,2.3615,1.4872,0.60487,0.53345,0.34402,0.20074,0,0,0,0.007822,0.007822,0.007822
68,2.5943,2.1336,1.5323,0.53232,0.56585,0.32781,0.17336,0,0,0,0.007789,0.007789,0.007789
69,2.5087,1.967,1.4923,0.49083,0.5781,0.3225,0.20338,0,0,0,0.007756,0.007756,0.007756
70,2.6547,2.2953,1.5599,0.34687,0.4654,0.1926,0.12433,0,0,0,0.007723,0.007723,0.007723
71,2.4892,2.1085,1.5118,0.7915,0.48127,0.31337,0.17548,0,0,0,0.00769,0.00769,0.00769
72,2.5784,2.1682,1.5122,0.52812,0.58762,0.3422,0.19479,0,0,0,0.007657,0.007657,0.007657
73,2.5798,2.1438,1.5394,0.7805,0.53256,0.34361,0.17185,0,0,0,0.007624,0.007624,0.007624
74,2.5132,2.1054,1.4667,0.41825,0.5433,0.34416,0.18318,0,0,0,0.007591,0.007591,0.007591
75,2.6709,2.2476,1.5286,0.55301,0.46222,0.31997,0.1685,0,0,0,0.007558,0.007558,0.007558
76,2.6828,2.2698,1.5609,0.45392,0.53524,0.36247,0.17699,0,0,0,0.007525,0.007525,0.007525
77,2.5501,2.1129,1.5237,0.64564,0.53217,0.40013,0.19421,0,0,0,0.007492,0.007492,0.007492
78,2.6152,2.2274,1.5363,0.4333,0.56857,0.3646,0.16189,0,0,0,0.007459,0.007459,0.007459
79,2.5803,2.1404,1.507,0.73502,0.54952,0.4456,0.20678,0,0,0,0.007426,0.007426,0.007426
80,2.4218,2.0416,1.5181,0.74907,0.57492,0.47966,0.20588,0,0,0,0.007393,0.007393,0.007393
81,2.4369,1.9533,1.469,0.60219,0.58839,0.4782,0.22224,0,0,0,0.00736,0.00736,0.00736
82,2.3902,1.946,1.4296,0.46758,0.55877,0.42351,0.19741,0,0,0,0.007327,0.007327,0.007327
83,2.5254,2.0945,1.5655,0.5428,0.52571,0.40859,0.17241,0,0,0,0.007294,0.007294,0.007294
84,2.4747,2.0241,1.4753,0.60233,0.53841,0.45814,0.21211,0,0,0,0.007261,0.007261,0.007261
85,2.4498,1.9662,1.4537,0.55847,0.55409,0.4659,0.2206,0,0,0,0.007228,0.007228,0.007228
86,2.436,1.9064,1.4727,0.57314,0.57649,0.4712,0.21159,0,0,0,0.007195,0.007195,0.007195
87,2.4844,2.1019,1.5043,0.78843,0.58762,0.49299,0.24003,0,0,0,0.007162,0.007162,0.007162
88,2.3823,1.859,1.468,0.49717,0.61302,0.47613,0.21102,0,0,0,0.007129,0.007129,0.007129
89,2.4244,2.0213,1.462,0.49761,0.53365,0.37505,0.2286,0,0,0,0.007096,0.007096,0.007096
90,2.33,1.911,1.4569,0.47513,0.57016,0.41726,0.24811,0,0,0,0.007063,0.007063,0.007063
91,2.3079,1.8189,1.4107,0.68159,0.47651,0.3908,0.24038,0,0,0,0.00703,0.00703,0.00703
92,2.5022,1.9661,1.497,0.62213,0.51302,0.42875,0.26084,0,0,0,0.006997,0.006997,0.006997
93,2.3848,1.8781,1.4272,0.65394,0.56222,0.48576,0.29123,0,0,0,0.006964,0.006964,0.006964
94,2.3485,1.7791,1.4017,0.57331,0.59873,0.48888,0.27609,0,0,0,0.006931,0.006931,0.006931
95,2.2929,1.7217,1.4467,0.48987,0.59238,0.43878,0.2526,0,0,0,0.006898,0.006898,0.006898
96,2.2858,1.7869,1.4405,0.5974,0.56222,0.47076,0.26767,0,0,0,0.006865,0.006865,0.006865
97,2.35,1.8469,1.4432,0.69948,0.58913,0.48757,0.28149,0,0,0,0.006832,0.006832,0.006832
98,2.4144,1.9695,1.4345,0.81322,0.52347,0.42521,0.25111,0,0,0,0.006799,0.006799,0.006799
99,2.3866,1.8438,1.4467,0.60561,0.60349,0.48612,0.28128,0,0,0,0.006766,0.006766,0.006766
100,2.3103,1.8481,1.4593,0.66025,0.59079,0.46925,0.28152,0,0,0,0.006733,0.006733,0.006733
101,2.2974,1.7565,1.4243,0.65476,0.57175,0.50183,0.27275,0,0,0,0.0067,0.0067,0.0067
102,2.2209,1.5866,1.3557,0.81935,0.54635,0.51492,0.2768,0,0,0,0.006667,0.006667,0.006667
103,2.2643,1.6966,1.3765,0.60242,0.51619,0.46573,0.24515,0,0,0,0.006634,0.006634,0.006634
104,2.1913,1.6138,1.3982,0.5297,0.57342,0.50191,0.26388,0,0,0,0.006601,0.006601,0.006601
105,2.2804,1.6936,1.4538,0.77435,0.59903,0.56407,0.30307,0,0,0,0.006568,0.006568,0.006568
106,2.2502,1.699,1.439,0.55384,0.5527,0.50702,0.24831,0,0,0,0.006535,0.006535,0.006535
107,2.3506,1.9245,1.4515,0.52269,0.63841,0.5913,0.28445,0,0,0,0.006502,0.006502,0.006502
108,2.1555,1.5991,1.3822,0.6041,0.63557,0.62663,0.31037,0,0,0,0.006469,0.006469,0.006469
109,2.088,1.5385,1.3678,0.67853,0.54635,0.56511,0.2732,0,0,0,0.006436,0.006436,0.006436
110,2.1407,1.5429,1.372,0.43018,0.55115,0.51325,0.24552,0,0,0,0.006403,0.006403,0.006403
111,2.2533,1.6603,1.4026,0.72094,0.61499,0.60226,0.2806,0,0,0,0.00637,0.00637,0.00637
112,2.207,1.6888,1.3833,0.58269,0.58615,0.57819,0.29026,0,0,0,0.006337,0.006337,0.006337
113,2.2021,1.6557,1.3342,0.72281,0.61143,0.61329,0.30108,0,0,0,0.006304,0.006304,0.006304
114,2.1754,1.631,1.3689,0.68838,0.55905,0.60829,0.29833,0,0,0,0.006271,0.006271,0.006271
115,2.1502,1.5562,1.3596,0.53697,0.57333,0.56607,0.30933,0,0,0,0.006238,0.006238,0.006238
116,2.2204,1.668,1.4023,0.50255,0.59397,0.5555,0.30542,0,0,0,0.006205,0.006205,0.006205
117,2.2528,1.6371,1.3769,0.44345,0.57651,0.52071,0.30313,0,0,0,0.006172,0.006172,0.006172
118,2.2468,1.6793,1.3893,0.55795,0.57382,0.52573,0.29985,0,0,0,0.006139,0.006139,0.006139
119,2.2339,1.7051,1.4515,0.65308,0.56063,0.54297,0.31065,0,0,0,0.006106,0.006106,0.006106
120,2.1511,1.5558,1.3644,0.50322,0.59595,0.54887,0.30887,0,0,0,0.006073,0.006073,0.006073
121,2.1285,1.5398,1.3532,0.40561,0.61348,0.5881,0.33958,0,0,0,0.00604,0.00604,0.00604
122,2.2014,1.6142,1.3888,0.50828,0.6146,0.60514,0.33514,0,0,0,0.006007,0.006007,0.006007
123,2.204,1.6775,1.4086,0.5978,0.54952,0.53825,0.30914,0,0,0,0.005974,0.005974,0.005974
124,2.1553,1.5622,1.3517,0.78441,0.57891,0.5639,0.31056,0,0,0,0.005941,0.005941,0.005941
125,2.1249,1.5767,1.3398,0.6049,0.61619,0.59184,0.34343,0,0,0,0.005908,0.005908,0.005908
126,2.1234,1.4675,1.321,0.61352,0.5654,0.57668,0.33592,0,0,0,0.005875,0.005875,0.005875
127,2.0381,1.4456,1.3111,0.60599,0.59079,0.57179,0.32524,0,0,0,0.005842,0.005842,0.005842
128,2.1205,1.6167,1.3472,0.5402,0.63524,0.60136,0.34607,0,0,0,0.005809,0.005809,0.005809
129,2.1234,1.6182,1.3365,0.64667,0.62221,0.61914,0.36071,0,0,0,0.005776,0.005776,0.005776
130,2.0241,1.3842,1.3317,0.69648,0.59873,0.62443,0.35737,0,0,0,0.005743,0.005743,0.005743
131,2.2235,1.6172,1.3914,0.48149,0.64635,0.61583,0.34365,0,0,0,0.00571,0.00571,0.00571
132,2.0089,1.3134,1.308,0.74759,0.5527,0.56255,0.32428,0,0,0,0.005677,0.005677,0.005677
133,1.9815,1.3942,1.3142,0.55672,0.62966,0.6057,0.33597,0,0,0,0.005644,0.005644,0.005644
134,2.1482,1.5489,1.3593,0.63585,0.58127,0.58829,0.33086,0,0,0,0.005611,0.005611,0.005611
135,2.0671,1.4367,1.338,0.54311,0.59238,0.57569,0.32252,0,0,0,0.005578,0.005578,0.005578
136,2.0759,1.5354,1.3402,0.50078,0.65484,0.5901,0.33253,0,0,0,0.005545,0.005545,0.005545
137,2.001,1.4963,1.3797,0.81855,0.60184,0.61673,0.36325,0,0,0,0.005512,0.005512,0.005512
138,2.0105,1.4187,1.2895,0.65571,0.64317,0.61058,0.351,0,0,0,0.005479,0.005479,0.005479
139,1.9852,1.3199,1.3405,0.656,0.59238,0.59125,0.34353,0,0,0,0.005446,0.005446,0.005446
140,2.0109,1.3821,1.3017,0.67426,0.63841,0.62291,0.35472,0,0,0,0.005413,0.005413,0.005413
141,1.9428,1.3234,1.3038,0.58078,0.62571,0.5951,0.32817,0,0,0,0.00538,0.00538,0.00538
142,1.9686,1.3673,1.3,0.54463,0.68444,0.64415,0.36253,0,0,0,0.005347,0.005347,0.005347
143,1.9026,1.3612,1.2875,0.83803,0.58127,0.58464,0.34136,0,0,0,0.005314,0.005314,0.005314
144,1.9738,1.3377,1.3125,0.74253,0.59719,0.60825,0.34524,0,0,0,0.005281,0.005281,0.005281
145,1.9605,1.3603,1.2739,0.58359,0.64317,0.62879,0.35146,0,0,0,0.005248,0.005248,0.005248
146,2.0342,1.4088,1.3513,0.55725,0.63821,0.61652,0.33243,0,0,0,0.005215,0.005215,0.005215
147,1.971,1.2849,1.2999,0.59491,0.6006,0.59569,0.34974,0,0,0,0.005182,0.005182,0.005182
148,1.9877,1.344,1.3001,0.60187,0.6279,0.61335,0.35733,0,0,0,0.005149,0.005149,0.005149
149,2.0248,1.4007,1.3241,0.8425,0.54328,0.59818,0.33126,0,0,0,0.005116,0.005116,0.005116
150,1.9523,1.3469,1.3171,0.86356,0.62705,0.66307,0.37903,0,0,0,0.005083,0.005083,0.005083
151,1.927,1.2718,1.3086,0.61303,0.70667,0.67175,0.38203,0,0,0,0.00505,0.00505,0.00505
152,2.0182,1.3607,1.3054,0.7221,0.59238,0.58223,0.3352,0,0,0,0.005017,0.005017,0.005017
153,1.9221,1.3249,1.2818,0.62942,0.68921,0.66117,0.37084,0,0,0,0.004984,0.004984,0.004984
154,1.8747,1.3111,1.2851,0.70024,0.61937,0.63524,0.34889,0,0,0,0.004951,0.004951,0.004951
155,1.964,1.3475,1.2801,0.67518,0.60508,0.60763,0.35493,0,0,0,0.004918,0.004918,0.004918
156,1.974,1.4004,1.3053,0.67018,0.56063,0.56114,0.34629,0,0,0,0.004885,0.004885,0.004885
157,1.9734,1.3395,1.2976,0.62878,0.59211,0.57484,0.35039,0,0,0,0.004852,0.004852,0.004852
158,1.8504,1.2841,1.2685,0.70508,0.6146,0.6346,0.36884,0,0,0,0.004819,0.004819,0.004819
159,1.9415,1.3954,1.3119,0.79861,0.62672,0.61562,0.37433,0,0,0,0.004786,0.004786,0.004786
160,1.9043,1.3521,1.2713,0.61828,0.69873,0.66398,0.39234,0,0,0,0.004753,0.004753,0.004753
